Id,source,title,article,page_rank,timestamp
0,Guardian,Radio appeal unearths missing pickle recipe,A plea by Chris Evans on Radio 2 for the return of the defunct Pan Yan pickle was met last week by a sheepish admission from the food giant behind the brand that the closely guarded secret recipe had been destroyed in a warehouse fire in 2004,5,2008-01-27 04:37:04
1,CNET,Vonage loses appeal in Verizon patent case,The Internet phone provider now faces paying out hefty damages and a possible shutdown of its service.,3,2007-09-27 04:00:25
2,Xinhua,Italy launches major offensive against organized crime,"Italian Police launched a major offensive against the Neapolitan crime syndicate the Camorra on Tuesday with the arrests of at least 52 people, Italian media reported.",5,2004-12-08 02:21:45
3,BBC,BAE 'to appoint ethics committee',BAE Systems is reported to be planning to set up an external ethics committee to look into its arms deals.,5,2007-06-10 15:35:07
4,Ha'aretz,US envoy Bolton to stop here on way to nuclear talks,A senior US official will visit Israel for consultations prior to the International Atomic Energy Agency&#39;s board of governors meeting next week to discuss Iran&#39;s nuclear program.,5,0000-00-00 00:00:00
5,Register,Mobile games set for simultaneous launch,"<h4>End of operator exclusivity</h4>\
<p>Four of the largest mobile games publishers (EA, Glu, Gameloft and I-play) have agreed to launch games simultaneously on all the UK networks, removing one more avenue for network differentiation and, hopefully, reducing customer confusion.â¦</p>",5,2007-05-30 08:38:15
6,New,Court TV Tilts to Tabloid Side in Ratings Quest,"Reflecting a new emphasis on reality shows, the Court TV cable network is taking on a new name as of Jan. 1: truTV.",5,2007-07-16 03:55:32
7,Yahoo,Postal geography mix-up hits Ascension Island (Reuters),"Reuters - Britain's Ascension Island has been without post since October because the Royal Mail has been sending its mail to\
South America.",5,2005-01-10 07:18:03
8,Boston,NHL suits up like never before,MONTREAL -- The National Hockey League is hoping a dose of high-tech design and a dollop of fashion will help revitalize a sport deemed too dull by many fans south of the Canadian border.,4,2007-06-21 13:26:05
9,BBC,More detained in secure hospitals,"The number of people detained in secure psychiatric wards in England has reached a record high, figures show.",5,2007-09-10 05:26:22
10,Yahoo,"London rooftop statues prompt suicide fear calls \
    (Reuters)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/nm/20070618/od_uk_nm/oukoe_uk_jumpers""><img src=""http://d.yimg.com/us.yimg.com/p/rids/20070618/i/ra3047464535.jpg?x=130&y=73&sig=3CbbJ1WK75CG863Y3e4cWw--"" align=""left"" height=""73"" width=""130"" alt=""A sculpture by artist Antony Gormley stands on a rooftop overlooking the Hayward Gallery in central London May 1, 2007. &#39;Event Horizon&#39; is an installation of 31 iron sculpture casts of the artist&#39;s body, located around central London and coinciding with his &#39;Blind Light&#39; exhibition, which runs until August 19. REUTERS/Toby Melville"" border=""0"" /></a>Reuters - Statues scattered across central London\
rooftops as part of artist Antony Gormley&#39;s latest exhibition\
are proving a serious headache for police.</p><br clear=""all""/>",5,2007-06-18 16:01:47
11,TheStreet.com,Ivax Skids on Earnings,"Shares of Ivax (IVX:AMEX - news - research) declined Monday , as strong quarterly results still fell below analysts&#39; predictions.",5,0000-00-00 00:00:00
12,Reuters,Scotland defender Pressley ruled out of qualifiers,Scotland defender Steven Pressley is the latest player to drop out of a depleted squad for the World Cup qualifiers with Norway and Moldova.,5,0000-00-00 00:00:00
13,Computerworld,SAP reports jump in Q3 revenue and profit,"Boosted by strong sales in Europe, the Middle East and Africa, and with continued growth in the U.S., SAP AG, the world's largest maker of business management software, posted a third-quarter rise in revenue and net income.",4,0000-00-00 00:00:00
14,BBC,Investigation after body is found,"\
An elderly man's body is found in a house in County Tyrone which police believe may have been burgled.",5,0000-00-00 00:00:00
15,RedNova,Atlantis Docks With International Space Station; NASA... [Derived Headline],"Atlantis docks with international space station; NASA to examine shuttle before doors open  AP Photo NY115, NY112  By JUAN A.",3,2007-06-12 10:29:58
16,Motley,Pilgrim's Pride Feeds on Firm Prices,"The company raises earnings guidance, boosting the stock.",5,0000-00-00 00:00:00
17,CBC,Jewish settlement agrees to removal from Gaza in boost for Sharon <b>...</b>,"Residents of a small Jewish settlement said Sunday they&#39;ve struck a deal to move to a village inside Israel, giving a boost to the government&#39;s contentious Gaza pullout plan by becoming the first community to agree to be ",5,2004-12-27 02:40:58
18,Yahoo,"Red Cross appealing for $19M for Iraq \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/ap/20080212/ap_on_re_mi_ea/red_cross_iraq""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080212/capt.sge.inl59.120208121749.photo02.photo.default-340x512.jpg?x=86&y=130&q=85&sig=W29jcS0SAlxe9rCbPbdsdQ--"" align=""left"" height=""130"" width=""86"" alt=""A US soldier stands guard as an Iraqi woman arrives at a fuel distribution depot in Samarra. Security forces have launched a search for two journalists from the American television network CBS who were kidnapped at gunpoint from their hotel in the Iraqi city of Basra.(AFP/Dave Clark)"" border=""0"" /></a>AP - The international Red Cross on Tuesday announced a campaign to raise $19 million to provide food, other supplies and health care to people in Iraq.</p><br clear=""all""/>",5,2008-02-12 14:47:38
19,Yahoo,Loud Music Can Cause Lung Collapse (Reuters),"Reuters - Blasting music can be hard on\
the ears and the neighbors, and now researchers say it can also\
pack enough punch to collapse a lung.",5,2004-09-03 01:09:23
20,Reuters,Stocks Slide as Oil Nears $50 Per Barrel, NEW YORK (Reuters) - U.S. stocks opened lower on Friday on  concerns the economy and corporate profits will slow as crude  futures touched another record and inched toward $50 per  barrel.,5,2004-08-20 21:51:41
21,Boston,US troops meet little resistance to crackdown,BAGHDAD -- Thousands of US troops swept house to house through mostly Shi'ite areas virtually unopposed yesterday in the opening phase of the long-awaited Baghdad security crackdown. But four US soldiers were killed outside of the capital in an area not covered by the operation.,5,2007-02-15 11:59:58
22,CNET,Photos: Matrix's high-rise chips,Matrix Semiconductor's memory chips have several layers of transistors rather than a single plane.,3,0000-00-00 00:00:00
23,New,This week's picks,"Newton North over Acton-Boxboro -- In a late roster move, Newton North adds Chris Barnicle to starting backfield and state cross-country champ runs for 5,468.066 yards (without stopping).",5,2004-11-30 09:19:04
24,BBC,Tennant 'is leaving Doctor Who',Comedian Catherine Tate suggests the next series of Dr Who could be the last for actor David Tennant.,5,2007-12-16 00:02:12
25,Yahoo,Movie Publicists Up Before Dawn for Oscar (AP),"AP - As first light spread across Hollywood, the spin machine hummed to life.",5,0000-00-00 00:00:00
26,ITV.com,Birmingham youth arrested under Terror Act,A 19-year-old man from Birmingham has been arrested under the Terrorism Act along with two men suspected of immigration offences. ,5,0000-00-00 00:00:00
27,Yahoo,Tech Giant Ericsson Posts Solid 3Q Profit (AP),"AP - LM Ericsson, the world's largest supplier of equipment for wireless phone networks, posted a third-quarter profit on Friday that was in line with analysts' expectations but said it expects only slight growth in mobile networks in the coming months.",5,0000-00-00 00:00:00
28,Yahoo,"Brady works out with Patriots \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/ap/20080128/ap_on_sp_fo_ne/fbn_super_bowl_brady_practices""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20080128/capt.a9784edfdc694c2684c2e2cf13e3350d.super_bowl_patriots_football_azss106.jpg?x=69&y=130&q=85&sig=qolz988Pu4L.BrNXQw6OHQ--"" align=""left"" height=""130"" width=""69"" alt=""With his right ankle taped, New England Patriots quarterback Tom Brady (12) runs before practice began at Sun Devil Stadium in Tempe, Ariz., Monday, Jan. 28, 2008. The Patriots will play the New York Giants in Super Bowl XLII in Glendale, Ariz., on Sunday. (AP Photo/Stephan Savoia)"" border=""0"" /></a>AP - Tom Brady was back where he belongs Monday, behind center for the New England Patriots' first practice session of Super Bowl week.</p><br clear=""all""/>",5,2008-01-29 03:13:57
29,Yahoo,"Davenport, Sharapova Reach Final in Tokyo (AP)","AP - Top-ranked Lindsay Davenport beat U.S. Open champion Svetlana Kuznetsova 6-1, 7-6 (2) Saturday to reach the final of the Pan Pacific Open, a tournament she has won four times.",5,0000-00-00 00:00:00
