C,min_rule_purity,min_rule_support,macro_f1,rule_coverage
1.0,0.95,40,0.7213709460203578,0.1564375
1.0,0.95,30,0.7213709460203578,0.1615625
1.0,0.95,20,0.7211444142103408,0.17175
1.0,0.9,30,0.7204281103450116,0.1888125
1.0,0.9,40,0.720408472499421,0.178375
1.0,0.9,20,0.7201813821499574,0.201625
0.5,0.95,30,0.7196513776421803,0.1615625
0.5,0.95,40,0.719604322726644,0.1564375
0.5,0.95,20,0.7194021975112819,0.17175
1.5,0.95,40,0.7193177753750285,0.1564375
1.5,0.95,30,0.7193177753750285,0.1615625
1.5,0.95,20,0.71909036860649,0.17175
0.5,0.9,30,0.7188776937508502,0.1888125
0.5,0.9,40,0.7186426112793228,0.178375
0.5,0.9,20,0.7185598302658278,0.201625
1.5,0.9,30,0.718318225864245,0.1888125
1.5,0.9,40,0.7182971101066891,0.178375
1.5,0.9,20,0.7181282232306295,0.201625
1.0,0.85,40,0.7181263455058925,0.20275
1.0,0.85,30,0.7178818968594202,0.217375
2.0,0.95,30,0.7177205022257541,0.1615625
2.0,0.95,40,0.7177205022257541,0.1564375
2.0,0.95,20,0.717492133226658,0.17175
1.0,0.85,20,0.7171611216430323,0.2354375
2.0,0.9,30,0.7167832710428858,0.1888125
2.0,0.9,40,0.716760485258046,0.178375
2.0,0.9,20,0.7165919534653439,0.201625
0.5,0.85,40,0.7164067536501351,0.20275
0.5,0.85,30,0.7163175096627675,0.217375
1.5,0.85,40,0.7159390675527021,0.20275
1.5,0.85,30,0.7156534275469327,0.217375
0.5,0.85,20,0.7155873388126522,0.2354375
1.5,0.85,20,0.7150109234965694,0.2354375
2.0,0.85,40,0.7143787267397739,0.20275
2.0,0.85,30,0.7140927593456824,0.217375
2.0,0.85,20,0.7134420071968995,0.2354375
