	deberta_42	deberta_1337	deberta_2024	deberta_noseed	deberta256_noseed	deberta256_42	deberta256_1337	deberta256_2024	roberta_42	roberta_1337	roberta_2024	roberta_noseed	roberta256_42	roberta256_1337	roberta256_2024	roberta_256_noseed
deberta_42	0.0	0.1018	0.10335	0.1257	0.13105	0.0989	0.1114	0.1032	0.1161	0.12105	0.12185	0.14035	0.1155	0.1224	0.11945	0.13835
deberta_1337	0.1018	0.0	0.10445	0.1287	0.1319	0.1048	0.11095	0.10975	0.11905	0.1166	0.12565	0.1422	0.1188	0.11855	0.1216	0.1393
deberta_2024	0.10335	0.10445	0.0	0.13075	0.1308	0.10445	0.1129	0.0956	0.1187	0.1221	0.11665	0.1412	0.12345	0.1221	0.11655	0.14255
deberta_noseed	0.1257	0.1287	0.13075	0.0	0.127	0.13485	0.14815	0.13895	0.1445	0.1451	0.1452	0.14775	0.1485	0.14575	0.1477	0.15195
deberta256_noseed	0.13105	0.1319	0.1308	0.127	0.0	0.13705	0.14785	0.1345	0.14615	0.1464	0.1472	0.15125	0.1458	0.1443	0.147	0.15195
deberta256_42	0.0989	0.1048	0.10445	0.13485	0.13705	0.0	0.0933	0.08905	0.1112	0.11395	0.11655	0.14695	0.11015	0.117	0.11375	0.1487
deberta256_1337	0.1114	0.11095	0.1129	0.14815	0.14785	0.0933	0.0	0.09585	0.1178	0.12195	0.12695	0.15865	0.1193	0.12095	0.11865	0.15845
deberta256_2024	0.1032	0.10975	0.0956	0.13895	0.1345	0.08905	0.09585	0.0	0.11335	0.1217	0.1155	0.1486	0.1186	0.1148	0.11125	0.14545
roberta_42	0.1161	0.11905	0.1187	0.1445	0.14615	0.1112	0.1178	0.11335	0.0	0.08505	0.0889	0.12275	0.0745	0.08765	0.0831	0.1246
roberta_1337	0.12105	0.1166	0.1221	0.1451	0.1464	0.11395	0.12195	0.1217	0.08505	0.0	0.09205	0.1269	0.08535	0.0778	0.08805	0.1248
roberta_2024	0.12185	0.12565	0.11665	0.1452	0.1472	0.11655	0.12695	0.1155	0.0889	0.09205	0.0	0.1251	0.0905	0.0929	0.0808	0.12635
roberta_noseed	0.14035	0.1422	0.1412	0.14775	0.15125	0.14695	0.15865	0.1486	0.12275	0.1269	0.1251	0.0	0.12585	0.126	0.12815	0.1208
roberta256_42	0.1155	0.1188	0.12345	0.1485	0.1458	0.11015	0.1193	0.1186	0.0745	0.08535	0.0905	0.12585	0.0	0.08975	0.0887	0.1225
roberta256_1337	0.1224	0.11855	0.1221	0.14575	0.1443	0.117	0.12095	0.1148	0.08765	0.0778	0.0929	0.126	0.08975	0.0	0.08785	0.12775
roberta256_2024	0.11945	0.1216	0.11655	0.1477	0.147	0.11375	0.11865	0.11125	0.0831	0.08805	0.0808	0.12815	0.0887	0.08785	0.0	0.1291
roberta_256_noseed	0.13835	0.1393	0.14255	0.15195	0.15195	0.1487	0.15845	0.14545	0.1246	0.1248	0.12635	0.1208	0.1225	0.12775	0.1291	0.0
