,deberta_42,deberta_1337,deberta_2024,deberta_noseed,deberta256_noseed,deberta256_42,deberta256_1337,deberta256_2024,roberta_42,roberta_1337,roberta_2024,roberta_noseed,roberta256_42,roberta256_1337,roberta256_2024,roberta_256_noseed
deberta_42,1.0,0.8982,0.89665,0.87665,0.86895,0.9011,0.8886,0.8968,0.8839,0.87895,0.87815,0.8673,0.8845,0.8776,0.88055,0.8713
deberta_1337,0.8982,1.0,0.89555,0.8729,0.8681,0.8952,0.88905,0.89025,0.88095,0.8834,0.87435,0.8662,0.8812,0.88145,0.8784,0.8713
deberta_2024,0.89665,0.89555,1.0,0.87965,0.8692,0.89555,0.8871,0.9044,0.8813,0.8779,0.88335,0.8671,0.87655,0.8779,0.88345,0.8676
deberta_noseed,0.87665,0.8729,0.87965,1.0,0.85305,0.9002,0.8855,0.8975,0.8729,0.87115,0.873,0.8579,0.87005,0.87015,0.8751,0.85575
deberta256_noseed,0.86895,0.8681,0.8692,0.85305,1.0,0.86295,0.85215,0.8655,0.85385,0.8536,0.8528,0.8548,0.8542,0.8557,0.853,0.85205
deberta256_42,0.9011,0.8952,0.89555,0.9002,0.86295,1.0,0.9067,0.91095,0.8888,0.88605,0.88345,0.867,0.88985,0.883,0.88625,0.8683
deberta256_1337,0.8886,0.88905,0.8871,0.8855,0.85215,0.9067,1.0,0.90415,0.8822,0.87805,0.87305,0.8565,0.8807,0.87905,0.88135,0.8606
deberta256_2024,0.8968,0.89025,0.9044,0.8975,0.8655,0.91095,0.90415,1.0,0.88665,0.8783,0.8845,0.86675,0.8814,0.8852,0.88875,0.8672
roberta_42,0.8839,0.88095,0.8813,0.8729,0.85385,0.8888,0.8822,0.88665,1.0,0.91495,0.9111,0.88715,0.9255,0.91235,0.9169,0.891
roberta_1337,0.87895,0.8834,0.8779,0.87115,0.8536,0.88605,0.87805,0.8783,0.91495,1.0,0.90795,0.88585,0.91465,0.9222,0.91195,0.89035
roberta_2024,0.87815,0.87435,0.88335,0.873,0.8528,0.88345,0.87305,0.8845,0.9111,0.90795,1.0,0.88725,0.9095,0.9071,0.9192,0.8883
roberta_noseed,0.8673,0.8662,0.8671,0.8579,0.8548,0.867,0.8565,0.86675,0.88715,0.88585,0.88725,1.0,0.8842,0.88705,0.8846,0.89205
roberta256_42,0.8845,0.8812,0.87655,0.87005,0.8542,0.88985,0.8807,0.8814,0.9255,0.91465,0.9095,0.8842,1.0,0.91025,0.9113,0.88795
roberta256_1337,0.8776,0.88145,0.8779,0.87015,0.8557,0.883,0.87905,0.8852,0.91235,0.9222,0.9071,0.88705,0.91025,1.0,0.91215,0.88975
roberta256_2024,0.88055,0.8784,0.88345,0.8751,0.853,0.88625,0.88135,0.88875,0.9169,0.91195,0.9192,0.8846,0.9113,0.91215,1.0,0.89095
roberta_256_noseed,0.8713,0.8713,0.8676,0.85575,0.85205,0.8683,0.8606,0.8672,0.891,0.89035,0.8883,0.89205,0.88795,0.88975,0.89095,1.0
