	deberta_42	deberta_1337	deberta_2024	deberta_noseed	deberta256_noseed	deberta256_42	deberta256_1337	deberta256_2024	roberta_42	roberta_1337	roberta_2024	roberta_noseed	roberta256_42	roberta256_1337	roberta256_2024	roberta_256_noseed
deberta_42	1.000000	0.898200	0.896650	0.876650	0.868950	0.901100	0.888600	0.896800	0.883900	0.878950	0.878150	0.867300	0.884500	0.877600	0.880550	0.871300
deberta_1337	0.898200	1.000000	0.895550	0.872900	0.868100	0.895200	0.889050	0.890250	0.880950	0.883400	0.874350	0.866200	0.881200	0.881450	0.878400	0.871300
deberta_2024	0.896650	0.895550	1.000000	0.879650	0.869200	0.895550	0.887100	0.904400	0.881300	0.877900	0.883350	0.867100	0.876550	0.877900	0.883450	0.867600
deberta_noseed	0.876650	0.872900	0.879650	1.000000	0.853050	0.900200	0.885500	0.897500	0.872900	0.871150	0.873000	0.857900	0.870050	0.870150	0.875100	0.855750
deberta256_noseed	0.868950	0.868100	0.869200	0.853050	1.000000	0.862950	0.852150	0.865500	0.853850	0.853600	0.852800	0.854800	0.854200	0.855700	0.853000	0.852050
deberta256_42	0.901100	0.895200	0.895550	0.900200	0.862950	1.000000	0.906700	0.910950	0.888800	0.886050	0.883450	0.867000	0.889850	0.883000	0.886250	0.868300
deberta256_1337	0.888600	0.889050	0.887100	0.885500	0.852150	0.906700	1.000000	0.904150	0.882200	0.878050	0.873050	0.856500	0.880700	0.879050	0.881350	0.860600
deberta256_2024	0.896800	0.890250	0.904400	0.897500	0.865500	0.910950	0.904150	1.000000	0.886650	0.878300	0.884500	0.866750	0.881400	0.885200	0.888750	0.867200
roberta_42	0.883900	0.880950	0.881300	0.872900	0.853850	0.888800	0.882200	0.886650	1.000000	0.914950	0.911100	0.887150	0.925500	0.912350	0.916900	0.891000
roberta_1337	0.878950	0.883400	0.877900	0.871150	0.853600	0.886050	0.878050	0.878300	0.914950	1.000000	0.907950	0.885850	0.914650	0.922200	0.911950	0.890350
roberta_2024	0.878150	0.874350	0.883350	0.873000	0.852800	0.883450	0.873050	0.884500	0.911100	0.907950	1.000000	0.887250	0.909500	0.907100	0.919200	0.888300
roberta_noseed	0.867300	0.866200	0.867100	0.857900	0.854800	0.867000	0.856500	0.866750	0.887150	0.885850	0.887250	1.000000	0.884200	0.887050	0.884600	0.892050
roberta256_42	0.884500	0.881200	0.876550	0.870050	0.854200	0.889850	0.880700	0.881400	0.925500	0.914650	0.909500	0.884200	1.000000	0.910250	0.911300	0.887950
roberta256_1337	0.877600	0.881450	0.877900	0.870150	0.855700	0.883000	0.879050	0.885200	0.912350	0.922200	0.907100	0.887050	0.910250	1.000000	0.912150	0.889750
roberta256_2024	0.880550	0.878400	0.883450	0.875100	0.853000	0.886250	0.881350	0.888750	0.916900	0.911950	0.919200	0.884600	0.911300	0.912150	1.000000	0.890950
roberta_256_noseed	0.871300	0.871300	0.867600	0.855750	0.852050	0.868300	0.860600	0.867200	0.891000	0.890350	0.888300	0.892050	0.887950	0.889750	0.890950	1.000000
