number,value,datetime_start,datetime_complete,duration,params_C,params_min_rule_purity,params_min_rule_support,user_attrs_rule_coverage,state
0,,2026-01-17 00:54:51.124549,2026-01-17 00:54:51.180694,0 days 00:00:00.056145,1.865000706655453,0.9,40,,FAIL
1,,2026-01-17 00:55:06.741644,2026-01-17 00:55:06.789244,0 days 00:00:00.047600,1.2955751479101358,0.93,20,,FAIL
2,0.7199678453016031,2026-01-17 00:55:31.684523,2026-01-17 01:03:12.991875,0 days 00:07:41.307352,1.1315528950465592,0.93,40,0.1689375,COMPLETE
3,0.720972448900483,2026-01-17 01:03:13.022703,2026-01-17 01:09:49.146374,0 days 00:06:36.123671,0.6146165325747928,0.93,20,0.1873125,COMPLETE
4,0.7199277303757075,2026-01-17 01:09:49.179129,2026-01-17 01:16:27.098282,0 days 00:06:37.919153,0.588283848886016,0.9,40,0.178375,COMPLETE
5,0.7170233438668312,2026-01-17 01:16:27.125283,2026-01-17 01:23:52.164575,0 days 00:07:25.039292,1.6618342257928216,0.9,20,0.201625,COMPLETE
6,0.7194196055496888,2026-01-17 01:23:52.184308,2026-01-17 01:31:37.006261,0 days 00:07:44.821953,1.5272223634029745,0.93,20,0.1873125,COMPLETE
7,0.7187985468030238,2026-01-17 01:31:37.027922,2026-01-17 01:37:09.305738,0 days 00:05:32.277816,0.5030540038020125,0.9,40,0.178375,COMPLETE
8,0.7194325214627421,2026-01-17 01:37:09.328285,2026-01-17 01:44:31.326016,0 days 00:07:21.997731,1.0832131265234666,0.9,20,0.201625,COMPLETE
9,0.7209380314082907,2026-01-17 01:44:31.351380,2026-01-17 01:51:14.130412,0 days 00:06:42.779032,0.7018068878374689,0.93,20,0.1873125,COMPLETE
10,0.7180887511305024,2026-01-17 01:51:14.157465,2026-01-17 01:59:20.628536,0 days 00:08:06.471071,1.4239994387717971,0.9,20,0.201625,COMPLETE
11,0.7208058550152389,2026-01-17 01:59:20.651594,2026-01-17 02:05:10.366905,0 days 00:05:49.715311,0.6544627373404501,0.93,20,0.1873125,COMPLETE
12,0.7209280751125113,2026-01-17 02:05:10.389031,2026-01-17 02:11:00.191794,0 days 00:05:49.802763,0.8430712871147761,0.95,30,0.1615625,COMPLETE
13,0.7209487755244847,2026-01-17 02:11:00.215393,2026-01-17 02:17:17.478581,0 days 00:06:17.263188,0.7757753805243813,0.93,30,0.1775,COMPLETE
14,0.7208712934837649,2026-01-17 02:17:17.501017,2026-01-17 02:24:04.543152,0 days 00:06:47.042135,0.8573814082582999,0.93,30,0.1775,COMPLETE
15,0.7209179778112105,2026-01-17 02:24:04.569184,2026-01-17 02:30:34.450648,0 days 00:06:29.881464,0.7864832589081053,0.95,30,0.1615625,COMPLETE
16,0.7195954447568936,2026-01-17 02:30:34.477178,2026-01-17 02:36:50.915572,0 days 00:06:16.438394,0.5271062088382769,0.93,30,0.1775,COMPLETE
17,0.7212946383532836,2026-01-17 02:36:50.939297,2026-01-17 02:43:06.368817,0 days 00:06:15.429520,0.6537546720881433,0.93,30,0.1775,COMPLETE
18,0.7210271386676632,2026-01-17 02:43:06.391343,2026-01-17 02:49:03.431263,0 days 00:05:57.039920,0.6500057866441109,0.93,30,0.1775,COMPLETE
19,0.7180719114243717,2026-01-17 02:49:03.452937,2026-01-17 02:57:03.520595,0 days 00:08:00.067658,1.9655609077747578,0.95,30,0.1615625,COMPLETE
20,0.7220136312451597,2026-01-17 02:57:03.545989,2026-01-17 03:04:09.693612,0 days 00:07:06.147623,0.9654966943081449,0.93,30,0.1775,COMPLETE
