Id,disagreement
9394,0.75
5922,0.6875
14919,0.6875
15273,0.6875
11817,0.625
12017,0.625
11241,0.625
11960,0.625
19728,0.625
19851,0.625
11629,0.625
2898,0.625
7621,0.625
4987,0.625
13363,0.625
13288,0.625
4850,0.625
2361,0.625
6092,0.625
6045,0.625
10824,0.625
10857,0.625
10871,0.625
2014,0.625
19516,0.625
4737,0.625
6318,0.625
5003,0.625
16538,0.625
16545,0.625
2486,0.625
4070,0.625
3877,0.625
16912,0.625
8759,0.625
2067,0.625
18478,0.625
3217,0.625
470,0.625
17351,0.625
2526,0.625
17645,0.625
6827,0.625
8365,0.625
9498,0.625
15703,0.625
18887,0.625
15974,0.625
15939,0.625
4230,0.625
2450,0.625
16267,0.625
16289,0.625
7755,0.625
3518,0.625
7306,0.625
1903,0.625
3447,0.625
11517,0.625
2050,0.625
7709,0.625
12408,0.625
4438,0.625
15244,0.625
12186,0.625
5601,0.625
5901,0.5625
5900,0.5625
11689,0.5625
11801,0.5625
1382,0.5625
11999,0.5625
2996,0.5625
19513,0.5625
2952,0.5625
2971,0.5625
5753,0.5625
5848,0.5625
19784,0.5625
5392,0.5625
12271,0.5625
2923,0.5625
5359,0.5625
5991,0.5625
11000,0.5625
10927,0.5625
12027,0.5625
19747,0.5625
11341,0.5625
11357,0.5625
11744,0.5625
11609,0.5625
14535,0.5625
4831,0.5625
4825,0.5625
1601,0.5625
19101,0.5625
4870,0.5625
19201,0.5625
19243,0.5625
1577,0.5625
14039,0.5625
14263,0.5625
13342,0.5625
13714,0.5625
13881,0.5625
977,0.5625
4958,0.5625
13144,0.5625
13313,0.5625
13238,0.5625
13320,0.5625
13216,0.5625
13197,0.5625
13249,0.5625
5323,0.5625
10728,0.5625
1137,0.5625
5328,0.5625
10790,0.5625
12865,0.5625
7182,0.5625
1108,0.5625
12875,0.5625
11180,0.5625
11082,0.5625
5510,0.5625
12311,0.5625
2909,0.5625
2905,0.5625
4481,0.5625
792,0.5625
14863,0.5625
15008,0.5625
782,0.5625
15197,0.5625
15046,0.5625
15065,0.5625
811,0.5625
15223,0.5625
9547,0.5625
9716,0.5625
1941,0.5625
7708,0.5625
4578,0.5625
9608,0.5625
9660,0.5625
9795,0.5625
14711,0.5625
14716,0.5625
18924,0.5625
9861,0.5625
14769,0.5625
14689,0.5625
14700,0.5625
9693,0.5625
16535,0.5625
8869,0.5625
16400,0.5625
581,0.5625
16253,0.5625
16234,0.5625
18837,0.5625
7774,0.5625
16078,0.5625
16293,0.5625
16084,0.5625
16058,0.5625
7098,0.5625
674,0.5625
671,0.5625
9118,0.5625
9323,0.5625
4346,0.5625
4422,0.5625
15813,0.5625
6599,0.5625
4397,0.5625
6776,0.5625
6778,0.5625
495,0.5625
16868,0.5625
3953,0.5625
18816,0.5625
4012,0.5625
3183,0.5625
16656,0.5625
18539,0.5625
3714,0.5625
8330,0.5625
8317,0.5625
1822,0.5625
17417,0.5625
17350,0.5625
8370,0.5625
18392,0.5625
3810,0.5625
18331,0.5625
17776,0.5625
8032,0.5625
7950,0.5625
1832,0.5625
17615,0.5625
17739,0.5625
363,0.5625
3632,0.5625
17837,0.5625
17624,0.5625
18018,0.5625
2550,0.5625
3529,0.5625
18003,0.5625
17956,0.5625
326,0.5625
18027,0.5625
17962,0.5625
18215,0.5625
8222,0.5625
35,0.5625
3,0.5625
2768,0.5
2663,0.5
2824,0.5
2721,0.5
2855,0.5
2885,0.5
2683,0.5
24,0.5
5791,0.5
19776,0.5
85,0.5
19628,0.5
19859,0.5
19742,0.5
