	deberta_42	deberta_1337	deberta_2024	deberta_noseed	deberta256_noseed	deberta256_42	deberta256_1337	deberta256_2024	roberta_42	roberta_1337	roberta_2024	roberta_noseed	roberta256_42	roberta256_1337	roberta256_2024	roberta_256_noseed
deberta_42	1.0	0.8982	0.89665	0.8743	0.86895	0.9011	0.8886	0.8968	0.8839	0.87895	0.87815	0.85965	0.8845	0.8776	0.88055	0.86165
deberta_1337	0.8982	1.0	0.89555	0.8713	0.8681	0.8952	0.88905	0.89025	0.88095	0.8834	0.87435	0.8578	0.8812	0.88145	0.8784	0.8607
deberta_2024	0.89665	0.89555	1.0	0.86925	0.8692	0.89555	0.8871	0.9044	0.8813	0.8779	0.88335	0.8588	0.87655	0.8779	0.88345	0.85745
deberta_noseed	0.8743	0.8713	0.86925	1.0	0.873	0.86515	0.85185	0.86105	0.8555	0.8549	0.8548	0.85225	0.8515	0.85425	0.8523	0.84805
deberta256_noseed	0.86895	0.8681	0.8692	0.873	1.0	0.86295	0.85215	0.8655	0.85385	0.8536	0.8528	0.84875	0.8542	0.8557	0.853	0.84805
deberta256_42	0.9011	0.8952	0.89555	0.86515	0.86295	1.0	0.9067	0.91095	0.8888	0.88605	0.88345	0.85305	0.88985	0.883	0.88625	0.8513
deberta256_1337	0.8886	0.88905	0.8871	0.85185	0.85215	0.9067	1.0	0.90415	0.8822	0.87805	0.87305	0.84135	0.8807	0.87905	0.88135	0.84155
deberta256_2024	0.8968	0.89025	0.9044	0.86105	0.8655	0.91095	0.90415	1.0	0.88665	0.8783	0.8845	0.8514	0.8814	0.8852	0.88875	0.85455
roberta_42	0.8839	0.88095	0.8813	0.8555	0.85385	0.8888	0.8822	0.88665	1.0	0.91495	0.9111	0.87725	0.9255	0.91235	0.9169	0.8754
roberta_1337	0.87895	0.8834	0.8779	0.8549	0.8536	0.88605	0.87805	0.8783	0.91495	1.0	0.90795	0.8731	0.91465	0.9222	0.91195	0.8752
roberta_2024	0.87815	0.87435	0.88335	0.8548	0.8528	0.88345	0.87305	0.8845	0.9111	0.90795	1.0	0.8749	0.9095	0.9071	0.9192	0.87365
roberta_noseed	0.85965	0.8578	0.8588	0.85225	0.84875	0.85305	0.84135	0.8514	0.87725	0.8731	0.8749	1.0	0.87415	0.874	0.87185	0.8792
roberta256_42	0.8845	0.8812	0.87655	0.8515	0.8542	0.88985	0.8807	0.8814	0.9255	0.91465	0.9095	0.87415	1.0	0.91025	0.9113	0.8775
roberta256_1337	0.8776	0.88145	0.8779	0.85425	0.8557	0.883	0.87905	0.8852	0.91235	0.9222	0.9071	0.874	0.91025	1.0	0.91215	0.87225
roberta256_2024	0.88055	0.8784	0.88345	0.8523	0.853	0.88625	0.88135	0.88875	0.9169	0.91195	0.9192	0.87185	0.9113	0.91215	1.0	0.8709
roberta_256_noseed	0.86165	0.8607	0.85745	0.84805	0.84805	0.8513	0.84155	0.85455	0.8754	0.8752	0.87365	0.8792	0.8775	0.87225	0.8709	1.0
